Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,Award,Cluster
51250,0,1,1,1,0,0,0,0,7283,0,2
1704838,0,1,1,1,17108,32,4823,23,7283,1,0
12895,0,1,1,1,0,0,0,0,7277,0,2
120073,0,3,1,1,12423,29,0,0,7276,1,1
2003,0,1,1,1,980,2,0,0,7274,0,2
22652,0,5,1,1,57642,14,0,0,7271,1,1
168515,0,1,1,1,4600,4,0,0,7269,0,2
44873,0,4,1,1,38740,18,850,2,7267,1,1
190542,1745,1,1,1,8487,9,0,0,7267,0,2
156230,0,1,1,1,5300,8,1300,5,7260,1,2
79211,0,4,1,1,36776,14,0,0,7260,1,1
98006,0,4,1,1,46349,20,2309,3,7332,1,1
33982,0,5,1,1,68320,17,0,0,7255,1,1
62998,0,2,1,1,11326,24,0,0,7253,0,2
137908,0,5,1,1,57713,19,0,0,7250,1,1
45586,0,4,1,1,37459,15,0,0,7246,0,1
568174,0,5,1,1,67121,16,1000,2,7243,1,1
145993,0,5,1,1,95082,17,500,1,7229,1,1
294881,0,5,1,1,84800,20,0,0,7279,1,1
12195,0,1,1,1,3875,17,0,0,7229,0,2
16622,0,1,1,1,0,0,0,0,7229,0,2
141813,0,4,1,1,39743,14,0,0,7254,0,1
58139,500,4,1,1,38408,16,150,1,7227,1,1
238868,0,3,1,1,20521,16,0,0,7220,0,1
149286,0,4,1,1,42141,30,2400,13,7222,1,0
35945,0,1,1,1,0,0,0,0,7220,0,2
28218,0,1,1,1,750,4,750,4,7232,1,2
7061,0,1,1,1,7100,12,0,0,7218,0,2
217846,0,4,1,1,49198,20,0,0,7215,1,1
364387,0,4,1,1,28200,27,0,0,7213,0,1
125465,0,3,1,1,14750,9,0,0,7206,0,2
94222,0,4,1,1,52081,24,0,0,7201,1,1
123370,0,1,1,1,7478,16,0,0,7197,0,2
383030,2998,1,1,1,8001,25,3226,15,7326,1,0
112969,0,2,1,1,7572,7,0,0,7192,0,2
46430,0,1,1,1,2100,4,500,1,7194,0,2
179433,0,4,1,1,30476,15,0,0,7187,0,1
20746,0,4,1,1,37534,17,0,0,7185,1,1
61455,0,4,1,1,28765,17,0,0,7183,1,1
714717,0,5,1,1,119162,20,1750,4,7183,1,1
179559,0,3,1,1,17819,12,1000,2,7173,1,1
119977,2556,1,1,1,9275,16,1400,4,7226,1,2
16928,0,1,1,1,1000,1,0,0,7173,0,2
65316,0,1,1,1,3917,10,0,0,7254,0,2
766419,0,1,1,1,11398,3,398,1,7162,1,1
52060,0,1,1,1,6500,3,0,0,7162,1,2
84700,0,3,1,1,13544,17,0,0,7162,0,2
205523,0,3,1,1,32404,20,1000,2,7159,1,1
20457,0,4,1,1,51399,16,0,0,7193,1,1
278727,0,1,1,1,21666,19,9166,16,7155,1,0
50325,0,3,1,1,11930,14,0,0,7155,0,2
455228,0,1,1,1,258,2,258,2,7141,1,2
73849,0,2,1,1,11793,21,0,0,7250,0,2
388455,0,5,1,1,114329,26,6078,8,7164,1,0
138999,0,5,1,1,63738,29,600,4,7153,1,1
65573,0,1,1,1,3875,23,0,0,7130,0,2
172288,0,5,1,1,66879,10,0,0,7130,1,1
47958,0,1,1,1,0,0,0,0,7130,0,2
133002,0,3,1,1,15672,21,150,1,7117,0,2
42363,0,1,1,1,0,0,0,0,7120,1,2
133370,0,4,1,1,44299,18,0,0,7101,1,1
278457,6727,4,1,1,57313,27,1000,2,7101,1,1
105166,1374,4,1,1,37663,22,0,0,7120,0,1
34956,0,1,1,1,0,0,0,0,7172,0,2
46963,0,1,1,1,1500,5,0,0,7117,0,2
55788,0,3,1,1,24831,12,0,0,7314,0,2
174910,0,4,1,1,63960,20,200,1,7110,1,1
13812,0,2,1,1,15149,39,0,0,7110,1,1
38718,0,1,1,1,0,0,0,0,7314,0,2
112501,0,1,1,2,19140,11,0,0,7101,0,2
54005,0,1,1,1,1500,5,0,0,7099,0,2
66863,0,4,1,1,36532,9,0,0,7099,1,1
93045,0,3,1,1,17636,15,0,0,7092,0,2
197328,0,5,1,1,60447,12,0,0,7092,0,1
151301,0,4,1,1,37772,14,0,0,7092,0,1
87938,0,1,1,1,11268,2,0,0,7085,1,2
15283,0,1,1,1,1250,3,0,0,7132,0,2
105423,0,3,1,1,20802,14,0,0,7078,0,2
312512,0,1,1,1,100,1,100,1,7078,0,2
13680,0,1,1,1,0,0,0,0,7073,1,2
41279,0,3,1,1,14462,20,1650,6,7064,0,2
25313,0,2,1,1,7491,13,0,0,7064,0,2
148691,0,1,1,1,3000,3,1000,2,7064,0,2
224081,0,4,1,1,40108,15,150,2,7059,0,1
51088,0,1,1,1,0,0,0,0,7057,0,2
95305,0,1,1,1,3189,13,0,0,7054,0,2
22080,0,1,1,1,12200,47,1950,9,7050,1,0
11660,0,1,1,1,140,1,0,0,7050,0,2
222227,0,4,1,1,38127,14,500,1,7047,1,1
16200,0,1,1,1,160,1,0,0,7043,0,2
38227,0,2,1,1,8612,13,0,0,7036,0,2
80214,0,1,1,1,500,1,500,1,7029,1,2
53985,0,1,1,1,1000,1,0,0,7029,1,2
14414,0,1,1,1,0,0,0,0,7024,0,2
44457,0,1,1,1,225,3,0,0,7026,0,2
161813,0,5,1,1,126941,20,0,0,7026,1,1
138020,0,1,1,1,6568,15,0,0,7024,1,2
107707,0,3,1,1,19407,25,2211,12,7024,0,0
95656,0,5,1,1,62666,27,0,0,7019,1,1
149678,0,1,1,1,0,0,0,0,7022,0,2
15113,0,2,1,1,10574,19,0,0,7017,1,2
231,0,1,1,1,29900,24,5300,15,7015,1,0
22380,0,1,1,1,300,2,200,1,7010,0,2
146263,0,3,1,1,20853,21,350,1,7001,1,1
24598,0,1,1,1,0,0,0,0,7040,0,2
76150,0,4,1,1,36907,17,0,0,6998,0,1
377252,0,5,1,1,230629,30,6393,13,6996,1,0
167670,0,1,3,1,15907,13,0,0,6994,0,2
86853,0,4,1,1,42293,21,500,1,6980,0,1
479989,0,4,1,1,66516,26,1600,6,6980,0,1
28193,0,5,1,4,103456,32,0,0,6980,1,1
67086,0,3,1,1,18157,16,0,0,6974,0,2
35969,0,2,1,1,11665,21,0,0,6977,0,2
53790,0,4,1,1,28717,19,0,0,8296,1,1
198859,0,3,1,1,17855,14,500,1,8296,0,2
91939,0,1,1,1,1244,8,0,0,8296,0,2
88449,0,2,1,1,11402,18,1450,5,8296,0,2
54842,0,3,1,1,20792,15,0,0,8296,1,1
11189,0,1,2,1,9044,20,0,0,8296,1,2
16999,0,1,1,1,140,1,0,0,8296,0,2
114713,0,1,1,1,7142,18,0,0,8296,0,2
1612,0,1,1,1,955,9,0,0,8296,0,2
97763,0,1,1,1,2000,9,0,0,8296,0,2
15129,0,1,1,1,0,0,0,0,8296,0,2
15669,0,1,1,1,1205,4,0,0,8296,0,2
26720,0,1,1,1,913,3,0,0,8296,0,2
205292,0,2,1,1,5471,13,0,0,8296,0,2
56635,0,1,1,1,1024,8,359,2,8296,0,2
127297,0,2,1,1,8510,12,0,0,8296,0,2
8927,0,1,1,1,0,0,0,0,8296,0,2
507506,1952,5,1,1,102279,32,4485,13,8296,1,0
145723,0,5,1,1,59858,16,0,0,8296,1,1
6458,0,1,1,1,0,0,0,0,8296,0,2
267640,0,1,1,1,6000,3,0,0,8296,1,2
5581,0,1,1,1,0,0,0,0,8296,0,2
10732,0,1,1,1,1296,6,0,0,8296,0,2
620498,0,5,1,1,25395,53,1750,14,8296,1,0
68963,0,4,1,1,37723,15,0,0,8296,0,1
109640,0,4,1,1,66983,38,5500,17,8296,1,0
225802,0,5,1,1,74340,16,200,2,8296,1,1
58452,0,1,1,1,0,0,0,0,8296,0,2
109087,0,2,1,1,10462,16,0,0,8296,1,2
68286,0,3,1,1,22831,13,0,0,8296,1,1
68464,0,1,1,1,240,3,0,0,8296,1,2
131960,2000,3,1,1,16081,8,0,0,8296,0,2
199956,1178,1,1,1,0,0,0,0,8296,0,2
529886,7210,1,1,1,23866,26,7741,15,8296,1,0
23529,0,1,1,1,500,1,0,0,8296,0,2
190295,0,4,1,1,3501,15,0,0,8296,0,2
21083,0,5,1,1,129330,16,1000,2,8296,1,1
117860,0,5,1,1,62758,15,0,0,8296,1,1
118844,0,4,1,1,28731,17,400,2,8289,1,1
60493,0,1,1,1,9000,1,0,0,8289,0,2
491987,0,5,1,1,68007,23,700,2,8289,1,1
87692,0,1,1,1,2310,6,500,1,8289,0,2
78028,0,4,1,1,36269,24,0,0,8289,0,1
251286,0,1,1,1,0,0,0,0,8289,1,2
17575,0,1,1,1,0,0,0,0,8289,1,2
50431,0,1,1,1,1000,1,0,0,8289,1,2
153597,0,5,1,1,56567,18,0,0,8289,0,1
74579,0,1,1,1,4600,11,600,8,8289,1,2
2494,0,1,1,1,0,0,0,0,8289,0,2
96031,0,4,1,1,46588,21,0,0,8289,0,1
353678,0,4,1,1,141230,28,1450,5,8289,1,1
50052,0,4,1,1,49383,13,0,0,8289,1,1
13381,0,1,1,1,1000,8,0,0,8289,0,2
25123,0,1,1,1,2030,6,0,0,8289,0,2
132555,0,3,1,1,24775,31,350,1,8289,1,1
14528,0,1,1,1,6000,7,3000,6,8289,0,2
24038,0,2,1,1,6290,14,0,0,8289,0,2
192104,0,3,1,1,39010,53,1750,8,8289,1,1
106773,0,1,1,1,12900,10,1400,8,8289,1,2
229397,0,3,1,1,22873,13,0,0,8289,1,1
14732,0,1,1,1,100,1,0,0,8289,0,2
383129,0,3,1,1,23608,16,500,1,8289,0,1
11431,0,1,1,1,1759,4,759,3,8289,0,2
175461,0,4,1,1,40997,14,0,0,8289,1,1
52953,0,1,1,1,500,1,0,0,8289,0,2
182291,0,3,1,1,24155,22,0,0,8289,0,1
198317,0,5,1,1,61714,16,0,0,8289,1,1
49053,0,1,1,1,6498,18,950,5,8289,0,2
22772,0,1,1,1,0,0,0,0,8289,0,2
34170,0,3,1,1,15476,20,150,1,8289,1,1
158483,0,2,1,1,9018,11,0,0,8289,0,2
43285,0,4,1,1,28613,14,0,0,8252,1,1
52980,0,3,1,1,17078,14,0,0,8237,0,2
74342,0,1,1,1,4389,12,0,0,8228,0,2
139849,0,3,1,1,19946,15,0,0,8228,1,1
26080,0,2,1,1,9872,13,0,0,8228,1,2
29469,0,1,1,1,2522,4,0,0,8228,0,2
189252,0,1,1,1,2991,15,0,0,8228,0,2
382546,0,5,1,1,136619,34,3000,6,8228,1,1
1113394,2015,5,1,1,60883,26,2600,9,8228,1,0
459681,0,5,1,1,95531,17,0,0,8228,1,1
83590,0,1,1,1,3708,22,0,0,8228,0,2
82528,0,1,1,1,2100,5,600,4,8228,1,2
5600,0,1,1,1,125,1,0,0,8228,0,2
743745,2066,1,1,1,4100,20,2500,18,8228,1,0
43954,0,5,1,1,63463,13,250,1,8228,1,1
52005,0,3,1,1,11870,15,100,1,8228,0,2
45494,0,1,1,1,5021,16,600,2,8228,0,2
171509,0,3,1,1,40090,55,6381,23,8151,1,0
235947,0,1,1,1,3982,16,0,0,8145,0,2
153108,0,4,1,1,25802,14,500,1,8137,0,1
260261,0,4,1,1,33047,21,0,0,8146,1,1
80223,0,3,1,1,21248,26,2050,7,8121,1,1
38716,0,2,1,1,8253,21,0,0,8114,0,2
1125076,0,3,1,1,23046,14,0,0,8107,0,1
10954,500,1,1,1,2500,1,0,0,8095,1,2
97099,0,1,1,1,6325,21,1700,5,8085,0,2
62396,2128,1,1,1,1250,3,0,0,8075,1,2
40645,0,3,1,1,18348,13,0,0,8067,1,2
82655,0,5,1,1,101101,19,700,2,8057,1,1
84035,0,1,1,1,4240,6,1600,4,8114,1,2
1199220,2919,1,1,1,3800,19,3300,18,8023,1,0
86345,0,3,1,1,13415,16,350,2,8009,0,2
2701,0,1,1,1,5000,10,0,0,8002,1,2
46874,0,1,1,1,9689,38,500,1,7990,0,2
10879,0,5,1,1,78186,32,3400,12,7981,1,0
12742,0,1,1,1,0,0,0,0,7966,0,2
122904,0,4,1,1,37380,21,1300,4,7956,0,1
10994,0,1,1,1,1250,3,0,0,8007,0,2
2318,0,2,1,1,8747,14,0,0,7945,1,2
11070,0,1,1,1,0,0,0,0,7939,1,2
21921,0,1,1,1,0,0,0,0,7939,0,2
162521,0,5,1,1,57354,25,0,0,8105,1,1
207545,0,1,1,1,11137,34,4387,12,8105,1,0
86112,0,4,1,1,35528,22,0,0,8105,0,1
18328,0,1,1,1,0,0,0,0,6790,0,2
217557,0,5,1,1,97584,19,550,2,6679,0,1
11504,0,1,1,1,100,1,0,0,6675,0,2
143200,0,5,1,1,79837,28,50,1,6667,1,1
160703,0,4,1,1,32560,12,0,0,6666,0,1
910,0,1,1,1,5172,13,0,0,6662,1,2
94105,0,1,1,1,100,1,0,0,6676,0,2
18422,0,1,1,1,3297,13,0,0,6653,0,2
